education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
 Graduate, No,4600000,13500000,16,587, Approved
 Graduate, Yes,9900000,31800000,18,817, Approved
 Not Graduate, Yes,300000,1000000,20,655, Approved
 Graduate, Yes,6900000,23900000,6,382, Rejected
 Graduate, Yes,1700000,4300000,6,765, Approved
 Graduate, Yes,4400000,10000000,20,516, Rejected
 Not Graduate, Yes,4300000,15000000,8,383, Rejected
 Not Graduate, No,3700000,14100000,6,633, Approved
 Graduate, No,5900000,15200000,2,547, Rejected
 Not Graduate, Yes,8600000,26300000,10,843, Approved
 Not Graduate, Yes,3400000,13200000,8,783, Approved
 Not Graduate, Yes,1000000,3200000,14,790, Approved
 Not Graduate, Yes,4400000,14200000,16,409, Rejected
 Not Graduate, No,3600000,7800000,14,376, Rejected
 Not Graduate, No,1400000,2700000,8,625, Approved
 Not Graduate, No,5300000,10900000,18,707, Approved
 Graduate, Yes,9400000,20500000,6,645, Approved
 Not Graduate, Yes,6600000,22100000,6,887, Approved
 Graduate, No,9800000,37600000,18,319, Rejected
 Not Graduate, No,1900000,4900000,20,647, Approved
 Not Graduate, Yes,5800000,22500000,6,888, Approved
 Not Graduate, No,3100000,10400000,10,420, Rejected
 Graduate, No,6800000,18400000,2,791, Approved
 Not Graduate, No,4600000,16200000,12,891, Approved
 Not Graduate, Yes,200000,700000,16,641, Approved
 Not Graduate, Yes,9500000,22800000,6,319, Rejected
 Not Graduate, Yes,6200000,22200000,20,819, Approved
 Not Graduate, Yes,9700000,32300000,18,387, Rejected
 Graduate, Yes,4200000,12300000,2,686, Approved
 Graduate, Yes,5700000,12000000,4,415, Rejected
 Graduate, Yes,200000,500000,6,885, Rejected
 Graduate, No,8000000,25500000,4,722, Approved
 Graduate, No,5200000,20400000,20,761, Approved
 Graduate, Yes,7100000,15200000,8,389, Rejected
 Graduate, Yes,9300000,27900000,12,600, Approved
 Graduate, No,2000000,6100000,2,407, Approved
 Graduate, Yes,3900000,14000000,18,829, Approved
 Not Graduate, No,2800000,5900000,6,895, Approved
 Graduate, Yes,3000000,11100000,12,441, Rejected
 Not Graduate, No,4500000,9800000,16,895, Approved
 Graduate, No,1900000,4300000,4,826, Approved
 Graduate, No,2300000,7200000,8,453, Rejected
 Graduate, No,4700000,17500000,2,701, Approved
 Not Graduate, Yes,1300000,2700000,8,627, Approved
 Graduate, No,3100000,11000000,2,543, Approved
 Graduate, No,8400000,17500000,18,411, Rejected
 Graduate, Yes,1700000,5800000,4,583, Approved
 Not Graduate, No,1900000,7500000,2,889, Approved
 Not Graduate, No,2400000,8600000,8,684, Approved
 Graduate, No,6800000,20500000,10,578, Approved
 Graduate, No,2900000,10900000,20,445, Rejected
 Graduate, Yes,8900000,26300000,10,369, Rejected
 Not Graduate, No,8800000,22200000,18,794, Approved
 Graduate, Yes,8200000,19200000,16,492, Rejected
 Not Graduate, Yes,3600000,13200000,16,557, Approved
 Graduate, Yes,9500000,31800000,6,519, Rejected
 Not Graduate, Yes,1900000,5700000,18,699, Approved
 Not Graduate, Yes,9100000,24600000,2,741, Approved
 Graduate, No,1100000,3800000,18,508, Rejected
 Not Graduate, Yes,1100000,2800000,10,647, Approved
 Graduate, No,9300000,28600000,14,656, Approved
 Graduate, Yes,3900000,10600000,2,439, Rejected
 Not Graduate, Yes,1500000,4000000,12,350, Rejected
 Graduate, No,800000,2200000,6,493, Rejected
 Graduate, No,600000,1800000,6,851, Approved
 Graduate, No,4400000,12500000,18,492, Rejected
 Graduate, Yes,2700000,5400000,6,861, Approved
 Not Graduate, Yes,6200000,14600000,2,664, Approved
 Graduate, Yes,700000,1300000,16,362, Rejected
 Graduate, No,3400000,9400000,6,703, Approved
 Not Graduate, Yes,4900000,16800000,12,758, Approved
 Not Graduate, Yes,4200000,9700000,2,396, Rejected
 Graduate, Yes,5300000,10600000,2,828, Approved
 Graduate, Yes,3700000,10000000,20,709, Approved
 Not Graduate, Yes,5600000,17500000,10,528, Rejected
 Graduate, Yes,4300000,16000000,14,623, Approved
 Not Graduate, Yes,7100000,24500000,14,599, Approved
 Graduate, Yes,5400000,12700000,4,622, Approved
 Not Graduate, No,6000000,13100000,6,385, Rejected
 Graduate, Yes,4100000,12500000,2,579, Approved
 Not Graduate, No,8300000,17900000,20,846, Approved
 Graduate, No,8100000,23900000,10,449, Rejected
 Not Graduate, No,7200000,24900000,14,666, Approved
 Graduate, No,7200000,17500000,4,380, Rejected
 Graduate, Yes,3500000,8100000,4,589, Approved
 Graduate, No,6200000,19500000,12,845, Approved
 Not Graduate, No,5200000,17300000,10,401, Rejected
 Not Graduate, No,4500000,14500000,2,766, Approved
 Not Graduate, No,5400000,15100000,12,522, Rejected
 Not Graduate, Yes,2000000,6900000,6,834, Approved
 Graduate, No,8900000,25400000,8,588, Approved
 Graduate, No,5000000,10600000,4,570, Approved
 Graduate, No,4900000,17600000,6,860, Approved
 Graduate, Yes,5300000,19200000,4,655, Approved
 Not Graduate, Yes,8500000,27700000,4,457, Approved
 Graduate, Yes,700000,2100000,14,863, Approved
 Not Graduate, Yes,5900000,18900000,4,742, Approved
 Graduate, No,3500000,13300000,4,798, Approved
 Not Graduate, Yes,7700000,18900000,16,552, Approved
 Not Graduate, Yes,4500000,12500000,12,418, Rejected
 Graduate, No,9100000,22200000,6,419, Rejected
 Not Graduate, Yes,9000000,29900000,2,668, Approved
 Not Graduate, No,8900000,29200000,8,608, Approved
 Not Graduate, No,6500000,13800000,10,342, Rejected
 Not Graduate, Yes,8100000,18000000,8,817, Approved
 Not Graduate, No,8400000,29900000,16,476, Rejected
 Not Graduate, No,5300000,20000000,6,881, Approved
 Graduate, No,4100000,15600000,12,838, Approved
 Not Graduate, No,6900000,27400000,4,406, Approved
 Graduate, Yes,5200000,19500000,12,778, Approved
 Not Graduate, Yes,2000000,7400000,14,799, Approved
 Graduate, No,4600000,17800000,20,716, Approved
 Graduate, Yes,7100000,20100000,16,756, Approved
 Not Graduate, No,9300000,20100000,10,743, Approved
 Not Graduate, No,5400000,19400000,20,731, Approved
 Not Graduate, No,4100000,8500000,2,833, Approved
 Not Graduate, No,4900000,11400000,8,470, Rejected
 Graduate, Yes,5400000,21200000,20,734, Approved
 Graduate, No,3000000,9600000,12,620, Approved
 Not Graduate, Yes,6800000,14400000,8,812, Approved
 Graduate, Yes,5100000,14000000,12,459, Rejected
 Graduate, Yes,9800000,32600000,10,704, Approved
 Graduate, Yes,1600000,4100000,6,391, Rejected
 Graduate, No,8000000,29100000,4,421, Approved
 Graduate, No,2900000,6700000,14,796, Approved
 Graduate, No,9200000,30300000,10,607, Approved
 Not Graduate, No,9500000,20400000,14,376, Rejected
 Graduate, Yes,3700000,8500000,8,424, Rejected
 Graduate, Yes,7100000,20800000,6,442, Rejected
 Not Graduate, No,5600000,17600000,14,448, Rejected
 Graduate, Yes,1200000,2700000,2,638, Approved
 Not Graduate, No,1600000,5600000,6,710, Approved
 Not Graduate, Yes,1600000,4800000,20,641, Approved
 Not Graduate, No,5300000,20200000,10,348, Rejected
 Not Graduate, No,9100000,19900000,20,519, Rejected
 Not Graduate, Yes,9400000,35000000,10,517, Rejected
 Not Graduate, No,5900000,22400000,6,375, Rejected
 Graduate, Yes,1100000,3400000,10,426, Rejected
 Graduate, Yes,3100000,11500000,14,785, Approved
 Not Graduate, No,2200000,8600000,20,373, Rejected
 Graduate, No,6000000,20100000,6,476, Rejected
 Graduate, Yes,2000000,5600000,18,320, Rejected
 Graduate, No,7200000,22900000,18,657, Approved
 Not Graduate, Yes,500000,1900000,12,868, Approved
 Not Graduate, Yes,5800000,13900000,6,345, Rejected
 Not Graduate, No,200000,300000,6,472, Rejected
 Not Graduate, Yes,4600000,9500000,20,613, Approved
 Not Graduate, Yes,4600000,12800000,14,769, Approved
 Graduate, No,6500000,23100000,20,741, Approved
 Not Graduate, Yes,4400000,16600000,14,889, Approved
 Not Graduate, Yes,900000,3600000,10,683, Approved
 Not Graduate, Yes,3200000,7400000,18,780, Approved
 Graduate, No,600000,1100000,8,538, Rejected
 Not Graduate, No,5200000,12600000,10,721, Approved
 Not Graduate, Yes,6400000,15200000,14,467, Rejected
 Not Graduate, No,1000000,2500000,6,551, Approved
 Not Graduate, No,6800000,14800000,14,803, Approved
 Graduate, No,3000000,8400000,10,361, Rejected
 Not Graduate, Yes,8700000,30700000,6,708, Approved
 Graduate, Yes,8800000,20900000,18,766, Approved
 Not Graduate, Yes,3900000,11500000,2,464, Rejected
 Graduate, No,1700000,4300000,2,517, Rejected
 Not Graduate, Yes,900000,2300000,6,747, Approved
 Not Graduate, No,7200000,24700000,6,596, Approved
 Graduate, No,9200000,25400000,2,783, Approved
 Not Graduate, No,5700000,19400000,2,335, Approved
 Not Graduate, Yes,1100000,2700000,4,889, Approved
 Not Graduate, Yes,1100000,2200000,4,874, Approved
 Graduate, Yes,6000000,23900000,4,394, Approved
 Graduate, Yes,8100000,28500000,20,420, Rejected
 Not Graduate, Yes,6500000,25100000,20,848, Approved
 Graduate, Yes,7600000,17900000,16,788, Approved
 Graduate, No,2200000,4900000,8,509, Rejected
 Graduate, Yes,6300000,23900000,6,899, Approved
 Not Graduate, Yes,6700000,15800000,12,466, Rejected
 Graduate, Yes,1300000,4300000,2,595, Approved
 Not Graduate, No,2800000,6700000,12,322, Rejected
 Graduate, No,7000000,18900000,2,691, Approved
 Not Graduate, Yes,8800000,26700000,10,379, Rejected
 Graduate, No,8900000,25800000,18,531, Rejected
 Not Graduate, No,7000000,21800000,4,631, Approved
 Graduate, Yes,6900000,18600000,10,330, Rejected
 Graduate, No,9200000,29200000,16,383, Rejected
 Graduate, Yes,6100000,19700000,16,678, Approved
 Graduate, Yes,4400000,14700000,8,894, Approved
 Not Graduate, No,9900000,22700000,12,567, Approved
 Not Graduate, No,3900000,14000000,4,708, Approved
 Graduate, No,6800000,21200000,2,433, Approved
 Not Graduate, No,3600000,8700000,14,302, Rejected
 Graduate, No,700000,2600000,14,736, Approved
 Not Graduate, Yes,4000000,8500000,6,323, Rejected
 Graduate, No,1800000,4100000,12,670, Approved
 Not Graduate, No,5600000,21000000,12,609, Approved
 Not Graduate, No,6800000,24200000,18,349, Rejected
 Not Graduate, Yes,600000,1500000,2,319, Rejected
 Not Graduate, No,4200000,16200000,14,391, Rejected
 Not Graduate, No,5000000,18700000,10,755, Approved
 Not Graduate, No,4100000,12200000,6,354, Rejected
 Not Graduate, Yes,2200000,8800000,2,877, Approved
 Not Graduate, No,3400000,8600000,16,312, Rejected
 Graduate, No,7100000,15900000,14,746, Approved
 Graduate, No,5800000,19600000,16,313, Rejected
 Graduate, No,3400000,12900000,14,857, Approved
 Not Graduate, No,7700000,18300000,20,504, Rejected
 Graduate, No,500000,1200000,14,556, Approved
 Graduate, Yes,5300000,11000000,14,393, Rejected
 Graduate, No,4700000,14400000,14,881, Approved
 Graduate, Yes,4300000,12200000,14,719, Approved
 Graduate, Yes,900000,2500000,16,458, Rejected
 Graduate, No,2000000,7500000,14,857, Approved
 Graduate, Yes,2000000,7600000,16,429, Rejected
 Not Graduate, No,4100000,15900000,12,538, Rejected
 Not Graduate, No,6900000,14400000,10,828, Approved
 Graduate, Yes,2300000,6100000,6,339, Rejected
 Graduate, Yes,5800000,16600000,18,376, Rejected
 Not Graduate, No,8000000,30000000,14,549, Rejected
 Not Graduate, Yes,3700000,12700000,18,587, Approved
 Not Graduate, No,2600000,8400000,18,861, Approved
 Not Graduate, No,3000000,7000000,12,409, Rejected
 Graduate, No,2700000,10200000,4,528, Approved
 Not Graduate, No,5700000,19600000,8,691, Approved
 Graduate, No,1500000,3600000,4,584, Approved
 Not Graduate, No,6800000,20000000,4,459, Rejected
 Graduate, Yes,8100000,31700000,10,755, Approved
 Not Graduate, Yes,9200000,27700000,20,688, Approved
 Not Graduate, Yes,7600000,26000000,6,384, Rejected
 Graduate, No,600000,1600000,20,869, Approved
 Not Graduate, Yes,4700000,18700000,20,445, Rejected
 Graduate, No,1400000,5500000,6,393, Rejected
 Graduate, Yes,9400000,24600000,10,414, Rejected
 Graduate, No,9700000,19900000,16,395, Rejected
 Not Graduate, Yes,8900000,21000000,14,815, Approved
 Graduate, No,4600000,10500000,8,758, Approved
 Not Graduate, Yes,5600000,14500000,10,457, Rejected
 Graduate, Yes,1000000,3200000,10,854, Approved
 Graduate, No,3500000,10300000,16,324, Rejected
 Not Graduate, No,7900000,31500000,14,849, Approved
 Graduate, Yes,6100000,24200000,12,672, Approved
 Not Graduate, Yes,8900000,20900000,6,859, Approved
 Graduate, No,5300000,15400000,8,584, Approved
 Not Graduate, No,1300000,4800000,4,346, Approved
 Graduate, No,4000000,12800000,18,635, Approved
 Not Graduate, No,8700000,22700000,4,365, Rejected
 Not Graduate, No,9500000,20000000,16,856, Approved
 Graduate, Yes,9000000,20000000,2,440, Rejected
 Graduate, Yes,7300000,23300000,2,616, Approved
 Graduate, Yes,7400000,25700000,2,461, Approved
 Not Graduate, No,3100000,10800000,10,681, Approved
 Graduate, No,4300000,9400000,2,485, Rejected
 Graduate, Yes,2400000,8300000,6,684, Approved
 Graduate, No,5400000,17900000,14,727, Approved
 Not Graduate, No,1600000,5100000,6,784, Approved
 Not Graduate, Yes,9900000,20400000,4,865, Approved
 Not Graduate, No,5800000,20100000,18,791, Approved
 Not Graduate, No,2200000,8500000,16,866, Approved
 Graduate, No,5000000,14400000,2,761, Approved
 Not Graduate, Yes,600000,2100000,18,572, Approved
 Graduate, No,2200000,8600000,6,601, Approved
 Graduate, Yes,2600000,5500000,14,820, Approved
 Not Graduate, No,1200000,4300000,8,598, Approved
 Graduate, No,3100000,8700000,18,544, Rejected
 Not Graduate, Yes,4600000,14500000,14,561, Approved
 Graduate, Yes,9300000,35500000,6,547, Rejected
 Graduate, No,6300000,13400000,2,504, Rejected
 Not Graduate, No,5900000,20800000,14,530, Rejected
 Graduate, Yes,2900000,10600000,6,614, Approved
 Not Graduate, No,6100000,22400000,18,351, Rejected
 Graduate, Yes,5900000,19700000,10,431, Rejected
 Not Graduate, Yes,4600000,18400000,10,403, Rejected
 Not Graduate, No,7000000,20200000,8,668, Approved
 Not Graduate, Yes,5100000,10400000,18,399, Rejected
 Graduate, No,3100000,10600000,14,665, Approved
 Graduate, No,4100000,12800000,16,344, Rejected
 Graduate, No,1800000,5400000,16,555, Approved
 Not Graduate, Yes,8200000,26900000,20,301, Rejected
 Not Graduate, Yes,800000,2100000,6,726, Approved
 Graduate, No,8400000,23100000,6,689, Approved
 Not Graduate, No,8500000,33900000,4,665, Approved
 Not Graduate, Yes,3300000,12700000,16,608, Approved
 Not Graduate, No,5800000,12800000,20,335, Rejected
 Not Graduate, No,4400000,10500000,18,677, Approved
 Not Graduate, No,2600000,8500000,2,491, Approved
 Not Graduate, Yes,9600000,28100000,20,763, Approved
 Not Graduate, Yes,5200000,18100000,8,809, Approved
 Not Graduate, Yes,9700000,36400000,16,544, Rejected
 Graduate, Yes,200000,800000,14,624, Approved
 Graduate, No,6500000,16800000,10,388, Rejected
 Graduate, Yes,7200000,23100000,14,644, Approved
 Not Graduate, No,5200000,18400000,14,600, Approved
 Not Graduate, No,6500000,14100000,2,709, Approved
 Graduate, Yes,2300000,5600000,8,642, Approved
 Not Graduate, Yes,3300000,10400000,4,423, Approved
 Not Graduate, Yes,2000000,5900000,12,900, Approved
 Graduate, Yes,8300000,19500000,4,415, Rejected
 Graduate, Yes,3800000,14300000,4,645, Approved
 Not Graduate, No,5700000,15600000,16,742, Approved
 Not Graduate, No,7300000,19800000,8,724, Approved
 Graduate, No,1600000,5400000,12,707, Approved
 Not Graduate, Yes,800000,2500000,4,780, Approved
 Not Graduate, No,6300000,21900000,10,538, Rejected
 Graduate, No,8800000,17700000,14,706, Approved
 Graduate, No,7300000,14500000,16,811, Approved
 Graduate, Yes,3800000,9100000,14,849, Approved
 Graduate, No,6200000,16700000,10,880, Approved
 Not Graduate, Yes,3500000,9500000,4,664, Approved
 Graduate, Yes,1400000,5000000,2,465, Approved
 Not Graduate, Yes,3500000,12000000,2,786, Approved
 Graduate, Yes,600000,2000000,10,326, Rejected
 Not Graduate, No,4100000,10800000,16,399, Rejected
 Not Graduate, Yes,5400000,11500000,6,841, Approved
 Not Graduate, Yes,2000000,6700000,14,638, Approved
 Graduate, Yes,3500000,8900000,4,478, Rejected
 Graduate, Yes,8300000,30000000,4,600, Approved
 Graduate, Yes,6700000,15600000,16,768, Approved
 Not Graduate, No,1900000,6500000,10,523, Rejected
 Graduate, Yes,6500000,20900000,14,327, Rejected
 Graduate, Yes,600000,1800000,8,799, Approved
 Graduate, No,7000000,23000000,18,803, Approved
 Graduate, No,7700000,15400000,18,524, Rejected
 Graduate, No,2600000,6600000,6,506, Rejected
 Graduate, No,9200000,18800000,2,351, Rejected
 Graduate, Yes,1800000,4200000,8,648, Approved
 Not Graduate, No,4900000,18500000,4,612, Approved
 Graduate, No,5700000,12400000,14,396, Rejected
 Not Graduate, No,300000,800000,2,458, Rejected
 Graduate, Yes,1700000,3400000,6,488, Rejected
 Graduate, No,7000000,18900000,6,475, Rejected
 Not Graduate, No,2200000,7000000,18,417, Rejected
 Not Graduate, No,6800000,18700000,8,781, Approved
 Not Graduate, Yes,2400000,6200000,12,337, Rejected
 Not Graduate, Yes,600000,1800000,12,511, Rejected
 Graduate, No,6200000,17300000,6,837, Approved
 Not Graduate, No,7600000,24600000,12,810, Approved
 Not Graduate, No,4800000,10600000,8,588, Approved
 Graduate, No,4200000,9200000,12,870, Approved
 Not Graduate, Yes,7200000,20700000,10,733, Approved
 Not Graduate, Yes,6400000,20300000,16,348, Rejected
 Not Graduate, Yes,8900000,23000000,12,741, Approved
 Not Graduate, No,5100000,14500000,12,306, Rejected
 Graduate, Yes,6300000,19500000,18,428, Rejected
 Graduate, No,6600000,22100000,4,455, Approved
 Not Graduate, Yes,4800000,14700000,2,356, Approved
 Graduate, No,200000,400000,4,594, Approved
 Not Graduate, Yes,7500000,25800000,18,844, Approved
 Graduate, No,9000000,34700000,4,771, Approved
 Graduate, No,5400000,12500000,4,622, Approved
 Not Graduate, Yes,1700000,4500000,20,480, Rejected
 Graduate, No,4300000,11500000,20,337, Rejected
 Graduate, No,5200000,11200000,6,698, Approved
 Not Graduate, No,4400000,17000000,18,302, Rejected
 Not Graduate, Yes,3900000,7800000,14,349, Rejected
 Graduate, No,1100000,3300000,10,482, Rejected
 Graduate, No,2500000,8200000,10,429, Rejected
 Graduate, No,500000,1300000,8,471, Rejected
 Graduate, Yes,9000000,32400000,10,895, Approved
 Not Graduate, Yes,5100000,20300000,18,757, Approved
 Graduate, No,5200000,13500000,2,777, Approved
 Not Graduate, Yes,4400000,8900000,4,761, Approved
 Graduate, No,1900000,4200000,12,821, Approved
 Not Graduate, Yes,9200000,26500000,6,662, Approved
 Not Graduate, Yes,4800000,16500000,10,350, Rejected
 Not Graduate, No,4900000,10700000,20,321, Rejected
 Graduate, Yes,4800000,10100000,4,368, Rejected
 Graduate, No,9300000,24900000,14,455, Rejected
 Not Graduate, Yes,7500000,24600000,8,744, Approved
 Graduate, No,5900000,16800000,4,806, Approved
 Graduate, No,9400000,27900000,6,456, Rejected
 Graduate, No,5300000,13400000,8,719, Approved
 Graduate, No,3700000,9000000,18,668, Approved
 Graduate, Yes,2500000,5800000,18,494, Rejected
 Not Graduate, No,2800000,10800000,2,841, Approved
 Graduate, Yes,5400000,21400000,8,721, Approved
 Graduate, No,3100000,9400000,10,414, Rejected
 Not Graduate, No,4800000,15500000,10,812, Approved
 Not Graduate, No,8800000,17500000,20,832, Approved
